# tank_end_upstream
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-69.8217 46.9249 800 -7.50285 4.8588 -23.9917 32.4655 2112 8 1099 1095 1 0 0 1 
-174.62 -0.649926 800 -203.16 -0.676908 -254.809 6.26693 2112 8 1106 1 1 0 0 1 
0.379084 -0.704749 795 0 0 8888.89 2.66657 2212 9 1 0 1 1.41363e-25 1.41363e-25 1 
-19.2575 240.062 800 -4.20813 52.9767 -28.8374 17.3748 2112 9 1019 1017 1 0 0 1 
42.4403 -46.4955 800 21.358 -23.2135 -65.6116 9.32678 2112 9 1020 1 1 0 0 1 
-92.398 -52.8068 800 -39.6441 -23.0363 -50.5455 10.8193 2112 9 1027 1025 1 0 0 1 
-86.8015 -78.3898 800 -51.91 -46.3557 -77.2696 8.40638 2112 9 1031 1 1 0 0 1 
21.6847 -79.5404 800 16.7839 -61.7948 -101.503 7.1519 2112 9 1035 1 1 0 0 1 
102.577 5.33918 800 79.3828 4.64417 -100.538 7.19521 2112 9 1036 1 1 0 0 1 
-37.8408 -120.677 800 -36.0769 -113.915 -123.136 3.89491 -211 9 1056 1 1 2.57737e-25 2.57737e-25 1 
46.1655 -68.2932 800 4.91316 -7.39193 -13.4008 33.8595 2112 9 1067 1065 1 0 0 1 
79.2139 -42.3923 800 40.4707 -20.9813 -65.1395 9.38953 2112 9 1069 1060 1 0 0 1 
155.517 -83.7206 800 444.585 -237.573 -370.965 4.43206 2212 9 1075 1 1 5.72544e-25 5.72544e-25 1 
0.705252 0.661482 795 0 0 8888.89 2.66654 2212 10 1 0 1 1.41363e-25 1.41363e-25 1 
