# tank_end_downstream
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-135.398 40.1169 1200 -28.2834 8.27137 57.4819 18.1108 2112 4 1017 1 1 0 0 1 
-161.046 146.821 1200 -40.4808 36.8188 69.1454 15.605 2112 4 1021 1 1 0 0 1 
-123.514 113.977 1200 -36.9149 33.9629 82.2593 13.6208 2112 4 1024 1 1 0 0 1 
122.952 -101.535 1200 38.006 -31.4992 84.6834 13.3216 2112 4 1025 1 1 0 0 1 
-23.525 188.463 1200 -6.91892 55.9319 81.7557 13.6891 2112 4 1027 1 1 0 0 1 
-48.805 194.406 1200 -19.9739 79.7832 113.043 7.29196 130 4 1046 1 1 0 0 1 
-124.097 -100.235 1200 -81.452 -66.34 180.649 7.98427 2112 4 1047 1 1 0 0 1 
-181.215 -62.8611 1200 -1.87685 -0.0419022 30.7326 1064.38 -14 4 1055 1052 1 0 0 1 
-99.2435 -192.783 1200 -89.4523 -174.812 248.219 6.76238 2112 4 1058 1 1 0 0 1 
43.4467 -123.017 1200 91.1638 -257.696 571.399 4.91668 2212 4 1064 1 1 3.70557e-25 3.70557e-25 1 
144.834 -107.2 1200 307.828 -229.563 582.926 4.94038 2212 4 1066 1 1 3.55468e-25 3.55468e-25 1 
59.8337 5.15298 1200 158.658 12.0044 724.658 4.61708 2112 4 1067 1 1 0 0 1 
-25.2417 -204.82 1200 -63.8349 -525.468 702.402 4.78212 2112 4 1068 1 1 0 0 1 
157.154 100.347 1200 503.8 323.103 876.142 4.58279 2112 4 1070 1 1 0 0 1 
62.5834 130.004 1200 165.57 340.622 722.715 4.15288 211 4 1079 1 1 1.54062e-25 1.54062e-25 1 
-86.8002 67.4323 1200 -411.31 317.562 1305.55 4.09453 -211 4 1080 1 1 1.52574e-25 1.52574e-25 1 
83.8508 20.3509 1200 16.8112 3.87213 57.8095 18.35 2112 5 1018 1015 1 0 0 1 
-29.8001 -69.4567 1200 -2.70312 -6.01921 27.7573 37.6989 2112 5 1041 1039 1 0 0 1 
46.3811 132.641 1200 4.89456 13.9443 32.0924 33.0575 2112 5 1042 1037 1 0 0 1 
-155.261 166.501 1200 -30.7571 33.3166 61.1692 18.8093 2112 5 1054 1 1 0 0 1 
-83.9774 0.892712 1200 -37.2452 4.44637 132.984 10.3147 2112 5 1079 1 1 0 0 1 
18.122 -68.2416 1200 8.25847 -29.7002 136.068 10.1576 2112 5 1081 1 1 0 0 1 
-176.346 17.023 1200 -69.2203 7.12917 121.153 11.0399 2112 5 1082 1 1 0 0 1 
31.0994 113.094 1200 16.3504 58.9805 158.941 9.15875 2112 5 1095 1 1 0 0 1 
-160.303 120.164 1200 -230.357 174.836 443.672 5.4879 2112 5 1119 1 1 0 0 1 
142.693 123.246 1200 231.856 201.237 498.012 5.27389 2112 5 1120 1 1 0 0 1 
-20.9249 64.7716 1200 -43.3665 135.915 631.257 4.06883 -211 5 1124 1 1 1.38224e-25 1.38224e-25 1 
14.8476 -159.589 1200 40.8919 -420.039 815.151 4.1618 211 5 1127 1 1 1.54765e-25 1.54765e-25 1 
73.6978 -97.8573 1200 165.05 -216.693 371.742 5.04306 2112 6 1010 1 1 0 0 1 
