# tank_side
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-249.947 5.13793 809.297 -31.5213 0.437861 -13.8819 28.2905 2112 5 1017 1015 1 0 0 1 
192.7 -159.27 871.046 49.2699 -41.6959 -12.8171 15.2901 2112 5 1020 1015 1 0 0 1 
50.4007 244.867 969.834 19.7194 100.286 20.3382 10.8145 2112 5 1021 1015 1 0 0 1 
135.457 -210.122 1020.29 39.0503 -62.2268 29.3219 13.8692 2112 5 1023 1015 1 0 0 1 
-184.814 168.356 824.918 -66.8739 59.5007 -34.1131 11.9939 2112 5 1025 1015 1 0 0 1 
-0.53543 -249.999 995.788 -3.28686 -266.092 79.6092 6.25675 2112 5 1026 1015 1 0 0 1 
67.331 -240.762 1121.51 75.263 -281.712 233.612 6.0683 2112 5 1028 1015 1 0 0 1 
142.622 205.327 838.632 136.826 199.009 -79.9895 6.48973 2112 5 1029 1015 1 0 0 1 
227.71 103.189 908.984 88.851 40.4185 6.46199 11.1698 2112 5 1033 1030 1 0 0 1 
236.394 -81.35 969.943 32.5931 -11.0502 10.6702 25.7934 2112 5 1043 1037 1 0 0 1 
-181.747 -171.662 861.431 -42.9539 -41.1239 -8.9202 16.3168 2112 5 1048 1 1 0 0 1 
234.759 -85.9535 853.251 69.3513 -24.9821 -11.6185 13.6892 2112 5 1053 1 1 0 0 1 
249.98 3.17639 974.689 78.353 1.33192 25.7612 13.0527 2112 5 1055 1 1 0 0 1 
245.35 47.9956 1023.08 33.5475 46.4705 9.02118 17.3232 2112 5 1058 1056 1 0 0 1 
224.499 110.001 805.362 77.5287 38.2677 -29.9557 12.1337 2112 5 1060 1 1 0 0 1 
249.442 -16.6943 917.168 102.018 -6.37091 10.141 10.7188 2112 5 1063 1 1 0 0 1 
169.579 183.693 871.729 71.7865 77.9657 -8.68736 10.4679 2112 5 1065 1 1 0 0 1 
35.2845 -247.497 864.359 15.2216 -104.664 -11.8754 10.4187 2112 5 1066 1 1 0 0 1 
-216.271 -125.407 1039.56 -79.9282 -46.0647 54.5563 11.5065 2112 5 1067 1 1 0 0 1 
249.628 13.624 802.489 101.936 5.99209 -36.6005 10.736 2112 5 1068 1 1 0 0 1 
86.172 234.679 1087.5 31.1529 84.6896 70.1144 11.7821 2112 5 1072 1 1 0 0 1 
-132.204 212.184 1009.27 -57.8417 93.6991 51.3813 10.1858 2112 5 1076 1 1 0 0 1 
-187.491 -165.369 1159.02 -64.5816 -56.756 92.1359 12.1463 2112 5 1078 1 1 0 0 1 
-19.6497 249.227 1029.85 -9.51681 124.737 68.5358 9.35408 2112 5 1084 1 1 0 0 1 
-236.764 80.268 1095.98 -108.148 37.2457 93.2471 9.92219 2112 5 1085 1 1 0 0 1 
6.32217 -249.92 1019.2 3.73622 -135.241 68.9583 8.83428 2112 5 1088 1 1 0 0 1 
99.7917 229.22 1022.48 55.2434 126.79 71.6572 8.76346 2112 5 1090 1 1 0 0 1 
248.209 29.8739 813.031 148.323 18.4577 -47.2748 8.32189 2112 5 1091 1 1 0 0 1 
236.451 -81.1843 843.203 165.003 -55.7673 -34.1936 7.57427 2112 5 1096 1 1 0 0 1 
116.22 -221.343 1065.87 77.1715 -145.564 114.692 7.84228 2112 5 1100 1 1 0 0 1 
-45.248 245.871 1024.68 -1.02198 196.127 101.325 7.15254 2112 5 1104 1 1 0 0 1 
-231.671 93.9609 862.31 -219.645 90.3252 -28.5185 6.39588 2112 5 1106 1 1 0 0 1 
95.281 -231.131 991.834 103.159 -247.635 107.124 6.03894 2112 5 1108 1 1 0 0 1 
228.745 -100.875 998.383 93.5857 -40.6059 42.8264 4.45083 -211 5 1109 1 1 2.98808e-25 2.98808e-25 1 
-116.629 -221.128 1011.15 -139.752 -264.926 143.066 5.75375 2112 5 1110 1 1 0 0 1 
-227.722 -103.163 968.657 -316.491 -142.218 106.355 5.40442 2112 5 1111 1 1 0 0 1 
-248.69 -25.564 1075.06 -304.253 -30.018 224.074 5.74914 2112 5 1112 1 1 0 0 1 
249.055 -21.7156 819.12 377.987 -31.2454 -110.845 5.2381 2112 5 1113 1 1 0 0 1 
247.83 -32.8688 882.454 398.781 -51.0334 -15.837 5.11644 2112 5 1114 1 1 0 0 1 
247.711 -33.7536 841.393 467.4 -61.5093 -95.8745 4.86312 2112 5 1117 1 1 0 0 1 
-148.152 201.373 844.116 -225.276 304.944 -74.5855 5.21503 2212 5 1118 1 1 6.91492e-25 6.91492e-25 1 
235.198 -84.7452 989.08 542.598 -192.556 222.706 4.62224 2112 5 1122 1 1 0 0 1 
-244.95 -49.9949 1022.61 -773.998 -155.02 412.593 4.35532 2212 5 1123 1 1 2.58563e-25 2.58563e-25 1 
-125.812 -216.036 931.022 -19.547 -30.7725 -13.7021 25.7007 2112 6 1002 1 1 0 0 1 
-237.789 -77.1775 1185.81 -43.6888 -14.3333 28.5194 20.461 2112 6 1004 1 1 0 0 1 
79.2001 -237.123 1169.63 22.6687 -67 38.9969 14.6133 2112 6 1005 1 1 0 0 1 
28.1524 248.41 980.742 10.2652 86.7783 -17.7123 12.4549 2112 6 1007 1 1 0 0 1 
215.255 -127.142 901.739 76.3132 -44.9874 -45.7012 12.3979 2112 6 1008 1 1 0 0 1 
195.239 -156.147 979.364 69.0677 -54.5604 9.4314 12.2737 2112 7 1020 1017 1 0 0 1 
86.5306 234.547 967.963 24.4477 68.178 4.32651 14.3886 2112 7 1023 1017 1 0 0 1 
6.09859 249.926 1157.2 2.66561 142.101 114.792 9.11934 2112 7 1025 1017 1 0 0 1 
-61.3625 -242.352 1162.42 -10.4924 -43.1546 47.3643 20.6073 2112 7 1036 1 1 0 0 1 
0.79285 249.999 823.751 1.17783 64.9816 -17.6621 15.6223 2112 7 1037 1 1 0 0 1 
-157.534 194.122 957.952 -44.4728 55.8932 17.4647 13.9617 2112 7 1038 1 1 0 0 1 
95.598 231 839.387 31.4462 74.18 -18.4849 12.8326 2112 7 1040 1 1 0 0 1 
